Players,Champion,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Category,Participation,Total
"GUATNO, MARLOU",,,,,,,,,,,,1,3
"LEGASPI, JERIC MARC EUTERIO R.",,,,,,,,,,,,1,3
"HILARIO, ALLAN GABRIEL P.",,,,,,,,,,,1,,4
"ENRIQUEZ, MICHAEL Q.",,,,,,,,,,,,2,6
"MAGPUSAO, ALMWAYNE D.",,,,,,,,,,,,1,3
"MACASPAC, ARTHUR",,,,,,,,,,,,2,6
"URSAL, DARWIN",,,,,,,,,,,,1,3
"STA. MONICA, ANTONIO JR.",,,,,,,,,,,,1,3
"OCAMPO, ROBI S.",,,,,,,,,,,,1,3
"JULGADO, BERNARD",,,,,,,,,,,,1,3
"URSAL, KRISTOFFERSON",,,,,,,,,,,,1,3
"ELLIS, ARNEL",,,,,,,,,,,,1,3
"LUCION, ROMMEL",,,,,,,,,,,,2,6
"LAT, JOSE LORENZO",,,,,,,,,,,,1,3
"TRASFIERO, EUGENE",,,,,,,,,,,,1,3
"CANCERAN, PAUL HAYDRICK",,,,,,,,,,,,1,3
"MAEJAN, HILSON JOHN",,,,,,,,,,,,1,3
"FERNANDEZ, KYLE NATHAN",,,,,,,,,,,,1,3
"DESPOY, JIANLIE",,,,,,,,,,,,1,3
"HERRERA, KRISTEL SHAYNE",,,,,,,,,,,1,,4
"TEJADA, JERICK",,,,,,,,,,,,1,3
"MELENDRES, LEONIDES KARLO III",,,,,,,,,,,,1,3
"VILLA, ERVIL M.",,,,,,,,,,,,2,6
"PINEDA, JERWIN",,,,,,,,,,,,1,3
"HUANG, AIDEN",,,,,,,,,,,,1,3
"DUENAS, REIANAH MAE",,,,,,,,,,,,1,3
"USI, MC XANDER",,,,,,,,,,,,1,3
"DELA CRUZ, JEFFREY",,,,,,,,,,,,2,6
"RAMIREZ, EZEKIEL V.",,,,,,,,,,,,1,3
"CONSTANTINO, MARLON",,,,,,,,,,,,1,3
"ESQUILLO, JONATHAN P.",,,,,,,,,,,,1,3
"PELAEZ, ELIJAH JAMES",,,,,,,,,,,,1,3
"HUANG, AUSTIN NICOLO",,,,,,,,,,,,1,3
"ZAMORA, NATHAN REI G.",,,,,,,,,,,,1,3
"MAHAWAN, CYRUS LUIS",1,,,,,,,,,,,,30
"PARADERO, GABRIEL RYAN",,1,,,,,,,,,,,20
"BRAVO, MARK",,,,,,,,,1,,,,5
"GLIFONEA, NOEL",,,,,,,,,,,1,,4
"SILVA, ZEDRIC",,,,,,,,,,,1,,4
"PRESENTE, JUAN CARLOS",,,,,,,,,,,,1,3
"MONDARES, DANIEL",,,,,,,,,,,1,,4
"VILLA, JOSHUA",,,,,,,,,,,,1,3
"PALISOC, ROBERT CHRISTIAN",,,,,,,,,,,,1,3
"FRATKIN, MARCUS E.",,,,,,,,,,,,1,3
"UY, AARON JEREMY",,,,,,,,,,,,1,3
"PANGAN, HANZ YATHEW",,,,,,,,,,,,1,3
"BAYANI, BRYCE CLARENCE S.",,,,,,,,,,,1,,4
"CRISTE, JAIME",,,,,,,,,,,,1,3
"ULANDAY, JUDYLITO",,,,,,,,,,,1,,4
"MANCENIDO, JOHNSON",,,,,,,,,,,,1,3
"SEGALES, ALEJANDRO",,,,,,,,,,,,1,3
"COCJIN, JOEL",,,,,,,,,,,,1,3
"FUNAYAMA, YUKIHIRO",,,,,,,,,,,,1,3
"OBOGNE, JOEL",,,,,,,,,,,,1,3
"ARIAS, DANIEL",,,,,,,,,,,,1,3
"SORITA, GARDY",,,,,,,,,,,,1,3
"VENTAYEN, MARK NOAH",,,,,,,,,,,,1,3
"MIRANDA, JIN CLARK MYCO",,,,,,,,,,,,1,3
"NOGUERA, PSALM LUKAS O.",,,,,,,,,,,,1,3
"PABLO, JOHN RAINE",,,,,,,,,,,,1,3
"LEGASPINA, JOHN MIGUEL M.",,,,,,,,,,,,1,3
"ATON, GABRIELLE",,,,,,,,,,,1,,4
"LOMIO, JOHN MARCUS",,,,,,,,,,,,1,3
"YAP, BERNIE",,,,,,,,,,,,1,3
"CHING, FRANCIS",,,,,,,,,,,,1,3
"CANIETE, MARIO S.",,,,,,,,,,,,1,3
"CABALLERO, EDWIN B.",,,,,,,,,,,,1,3
"PORTUGAL, LORENZO",,,,,,,,,,,,1,3
"MARASIGAN, CARLOS",,,,,,,,,,,,1,3
"JOCSON, RITCHIE",,,,,,,,,,,,1,3
"SINGSON, ADRIAN JOY",,,,,,,,,,,,1,3
"CALAR, ERWIN P.",,,,,,,,,,,,1,3
"ABISAN, ROGER",,,,,,,,,,,,1,3
"MACARIOLA, PAUL GENESIS",,,,,,,,,,,,1,3
"ARASAIN, AL MICHAEL D.",,,,,,,,,,,,1,3
"SANCHEZ, PAUL",,,,,,,,,,,,1,3
"PEREZ, ILANN",,,,,,,,,,,,1,3
